p.codigo,d.pais,d.motivo,d.victimas
IN,India,Downpour,5000
AF,Afghanistan,Continuous_rain,2100
CN,China,Downpour,1765
PH,Philippines,Tropical_Cyclone,430
BR,Brazil,Downpour,424
UG,Uganda,Downpour,388
BR,Brazil,Downpour,378
CN,China,Dam_Embankment_Collapse,277
IN,India,Downpour,234
CN,China,Earthquake,200
BR,Brazil,Downpour,196
IN,India,Downpour,182
NP,Nepal,Continuous_rain,174
IN,India,Continuous_rain,151
ID,Indonesia,Downpour,145
BD,Bangladesh,Monsoon,128
AF,Afghanistan,Flooding,114
BR,Brazil,Continuous_rain,109
PH,Philippines,Tropical_Cyclone,104
CO,Colombia,Downpour,91
PH,Philippines,Tropical_Cyclone,85
CN,China,Snowfall_snowmelt,83
ID,Indonesia,Rain,78
MG,Madagascar,Tropical_Cyclone,73
NP,Nepal,Downpour,72
MX,Mexico,Tropical_Cyclone,71
MM,Myanmar,Rain,70
DO,Dominican Republic,Tropical_Cyclone,68
CN,China,Downpour,66
CN,China,Tropical_Cyclone,66
BR,Brazil,Downpour,63
NP,Nepal,Downpour,60
ID,Indonesia,Rain,60
BR,Brazil,Downpour,56
CN,China,Downpour,53
IN,India,Downpour,52
